USER_ID,AGE_GROUP,GENDER,HAS_GENDER_REPORTED,REGION,YEAR_PATH_STARTED
U5638782346267395908,30-34 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2023
U-7977714884686561436,25-29 ans,M,TRUE,Île-de-France,2022
U-7320790171917446194,35-39 ans,M,TRUE,Grand Est,2022
U4713237188285827998,35-39 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2023
U7968119305934917510,35-39 ans,F,TRUE,Nouvelle-Aquitaine,2023
U-1971153625293283844,40-44 ans,F,TRUE,Île-de-France,2025
U-9172753344279770152,40-44 ans,Non renseigné,FALSE,Île-de-France,2024
U-842210030176508627,55-59 ans,Non renseigné,FALSE,Île-de-France,2024
U-5299751778429764686,40-44 ans,M,TRUE,Île-de-France,2023
U1348103507035942034,35-39 ans,M,TRUE,Île-de-France,2024
U-7327392607422719714,35-39 ans,M,TRUE,Île-de-France,2023
U8752551900384402620,25-29 ans,M,TRUE,Pays de la Loire,2025
U-4846338880521973901,40-44 ans,M,TRUE,Grand Est,2025
U7442801504606367726,30-34 ans,F,TRUE,Centre-Val de Loire,2023
U6642326948953238657,50-54 ans,Non renseigné,FALSE,Grand Est,2023
U-9223346623322547183,35-39 ans,Non renseigné,FALSE,Pays de la Loire,2023
U4909759545402068949,35-39 ans,M,TRUE,Île-de-France,2025
U-3550541207885868306,45-49 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2022
U-1522680135502648121,40-44 ans,M,TRUE,Île-de-France,2024
U1826087383407500118,35-39 ans,F,TRUE,Île-de-France,2023
U7762362681029227107,30-34 ans,M,TRUE,Île-de-France,2022
U5423880631206474053,35-39 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2024
U6841434531737669181,40-44 ans,F,TRUE,Île-de-France,2025
U-6628090831712510052,30-34 ans,F,TRUE,Nouvelle-Aquitaine,2023
U-1234350160307514665,35-39 ans,M,TRUE,Nouvelle-Aquitaine,2022
U7038163340729774495,50-54 ans,Non renseigné,FALSE,Île-de-France,2023
U-863220404710526574,30-34 ans,M,TRUE,Hauts-de-France,2025
U-8642682912319855239,30-34 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U-5321103594986014400,25-29 ans,M,TRUE,Occitanie,2025
U-8548909995529817635,30-34 ans,F,TRUE,Île-de-France,2023
U-7033965652590703301,20-24 ans,M,TRUE,Nouvelle-Aquitaine,2024
U5254125180684327029,30-34 ans,F,TRUE,Bretagne,2022
U-6937361838402762796,25-29 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2024
U-1451511235610535797,45-49 ans,Non renseigné,FALSE,Île-de-France,2023
U-1270820145257550137,40-44 ans,Non renseigné,FALSE,Île-de-France,2024
U-6457374182286067674,25-29 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2024
U1914492788549915999,35-39 ans,Non renseigné,FALSE,Île-de-France,2022
U-2300458270614337941,40-44 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2022
U2883080483749365958,45-49 ans,M,TRUE,Bourgogne-Franche-Comté,2025
U-4919809272285468276,35-39 ans,F,TRUE,Île-de-France,2022
U682607025783480308,50-54 ans,Non renseigné,FALSE,Île-de-France,2023
U-3382938365503266109,35-39 ans,F,TRUE,Grand Est,2025
U6656350468694302970,30-34 ans,M,TRUE,Auvergne-Rhône-Alpes,2022
U626121397974965046,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2024
U4459394592383370717,40-44 ans,M,TRUE,Bretagne,2025
U-7168915509985822344,40-44 ans,Non renseigné,FALSE,Hauts-de-France,2022
U4875650707877301538,30-34 ans,Non renseigné,FALSE,Hauts-de-France,2022
U6703047116463316043,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U-484955440962274945,45-49 ans,F,TRUE,Pays de la Loire,2023
U-4739562971530308853,55-59 ans,M,TRUE,Centre-Val de Loire,2024
U-6465433147725957851,35-39 ans,M,TRUE,Île-de-France,2022
U7374423198509770165,35-39 ans,F,TRUE,Île-de-France,2024
U-260025015344860508,50-54 ans,Non renseigné,FALSE,Île-de-France,2023
U7455492920407671431,30-34 ans,M,TRUE,Nouvelle-Aquitaine,2025
U1464536307834458530,45-49 ans,Non renseigné,FALSE,Grand Est,2024
U-2816187649836265310,30-34 ans,F,TRUE,Grand Est,2022
U9178007426530912930,30-34 ans,M,TRUE,Hauts-de-France,2025
U-3971386421479937528,40-44 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U5759300620668241493,25-29 ans,Non renseigné,FALSE,Occitanie,2022
U4333762656531553529,25-29 ans,M,TRUE,Île-de-France,2024
U5950216443161238183,30-34 ans,M,TRUE,Île-de-France,2022
U-6916091860807207257,30-34 ans,Non renseigné,FALSE,Île-de-France,2023
U-5393185431249136895,35-39 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2025
U735362739719926722,25-29 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2022
U-7969861600753700467,30-34 ans,M,TRUE,Pays de la Loire,2023
U-7727664395263494815,25-29 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2023
U-7324916666886535920,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2022
U-8616819899160816904,30-34 ans,F,TRUE,Île-de-France,2024
U411072519346478995,30-34 ans,M,TRUE,Île-de-France,2023
U2290953663754199539,35-39 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2024
U6573962347185711653,35-39 ans,M,TRUE,Occitanie,2025
U-2789052691873892707,40-44 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2025
U-956478137522474051,35-39 ans,Non renseigné,FALSE,Île-de-France,2025
U-5485037536814452372,30-34 ans,M,TRUE,Île-de-France,2025
U3470808165972782864,30-34 ans,F,TRUE,Île-de-France,2025
U-840004688784485496,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U7662694845064504174,20-24 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2023
U7605889728102910022,30-34 ans,Non renseigné,FALSE,Île-de-France,2023
U1491168472958976409,35-39 ans,M,TRUE,Île-de-France,2023
U-8973273393512570598,25-29 ans,M,TRUE,Occitanie,2022
U2945647238883100739,35-39 ans,M,TRUE,Bretagne,2022
U-4433129803768051036,55-59 ans,Non renseigné,FALSE,Grand Est,2022
U4758758051106452391,30-34 ans,M,TRUE,Île-de-France,2023
U-8498960783496399051,40-44 ans,M,TRUE,Auvergne-Rhône-Alpes,2024
U-6179606084334061994,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U8831992770305421590,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U-1935414764974628243,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U-1118156622525800666,30-34 ans,Non renseigné,FALSE,Île-de-France,2023
U-3768113859021961195,35-39 ans,M,TRUE,Île-de-France,2022
U-4437711004835401742,40-44 ans,Non renseigné,FALSE,Île-de-France,2023
U-1187854993925850585,25-29 ans,Non renseigné,FALSE,Centre-Val de Loire,2023
U-2577927648739242509,25-29 ans,M,TRUE,Île-de-France,2025
U3139545146666396723,25-29 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2022
U-1082128193542165135,35-39 ans,Non renseigné,FALSE,Pays de la Loire,2023
U5790013964298357379,35-39 ans,Non renseigné,FALSE,Hauts-de-France,2022
U-5298338633717520612,25-29 ans,F,TRUE,Île-de-France,2025
U-2163848991676045918,60 ans ou plus,Non renseigné,FALSE,Île-de-France,2022
U-6859762534617603456,45-49 ans,M,TRUE,Centre-Val de Loire,2025
U-8535061668412348846,30-34 ans,M,TRUE,Normandie,2022
U4448129076222264334,35-39 ans,M,TRUE,Grand Est,2024
U-997935675255521792,25-29 ans,F,TRUE,Grand Est,2022
U7128293074306612713,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U6621321649545091968,35-39 ans,M,TRUE,Auvergne-Rhône-Alpes,2023
U7176624688144812594,25-29 ans,M,TRUE,Île-de-France,2025
U7823810759252741399,50-54 ans,M,TRUE,Île-de-France,2023
U-4588665527519154426,45-49 ans,M,TRUE,Île-de-France,2025
U-8217445586851107897,30-34 ans,Non renseigné,FALSE,Île-de-France,2023
U-5204606027653547848,45-49 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2025
U472791092548548851,25-29 ans,M,TRUE,Grand Est,2024
U-3326045316892459248,25-29 ans,F,TRUE,Île-de-France,2024
U5138095593695997380,30-34 ans,F,TRUE,Occitanie,2025
U-6519034861514398053,30-34 ans,F,TRUE,Occitanie,2024
U-2305010712298657006,25-29 ans,M,TRUE,Auvergne-Rhône-Alpes,2024
U6340228519824386812,35-39 ans,F,TRUE,Auvergne-Rhône-Alpes,2025
U-5347589842636596030,25-29 ans,M,TRUE,Île-de-France,2023
U-2388055103031453894,35-39 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2022
U1757368171383515870,30-34 ans,F,TRUE,Île-de-France,2024
U9139139897119670097,50-54 ans,M,TRUE,Île-de-France,2023
U3972400148247851630,35-39 ans,F,TRUE,Île-de-France,2024
U-2283837568026691915,45-49 ans,Non renseigné,FALSE,Île-de-France,2022
U7033876816738071288,30-34 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2024
U4667296253457896922,30-34 ans,M,TRUE,Île-de-France,2023
U-5117461717004596247,30-34 ans,F,TRUE,Occitanie,2024
U-1078657632406711503,30-34 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U-3473741076707136227,45-49 ans,M,TRUE,Pays de la Loire,2022
U4170737585797200308,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U1813097132842251554,25-29 ans,Non renseigné,FALSE,Bretagne,2023
U6682248101869573104,30-34 ans,F,TRUE,Bretagne,2025
U-3130642312672791726,30-34 ans,F,TRUE,Île-de-France,2025
U2545590812376121600,45-49 ans,Non renseigné,FALSE,Île-de-France,2022
U7250053415538172917,45-49 ans,M,TRUE,Île-de-France,2022
U27837455344236504,20-24 ans,M,TRUE,Centre-Val de Loire,2024
U4587787759898488681,45-49 ans,M,TRUE,Auvergne-Rhône-Alpes,2024
U-7141661488995634418,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U-288220828740468755,40-44 ans,Non renseigné,FALSE,Île-de-France,2022
U-3510447601143121291,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U252432142932818132,25-29 ans,M,TRUE,Normandie,2022
U2342555937640023005,25-29 ans,M,TRUE,Normandie,2025
U5137153716100141445,25-29 ans,M,TRUE,Île-de-France,2025
U2145264000869963260,45-49 ans,F,TRUE,Bretagne,2025
U917650762086862376,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U32230814255514720,30-34 ans,M,TRUE,Île-de-France,2025
U-5867062003631694712,50-54 ans,Non renseigné,FALSE,Île-de-France,2022
U-4623160095213449657,45-49 ans,F,TRUE,Occitanie,2025
U4997653292260221289,30-34 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2023
U-4844641948702450645,25-29 ans,M,TRUE,Île-de-France,2022
U-5707543465599348035,35-39 ans,M,TRUE,Occitanie,2025
U8819783775414460743,45-49 ans,F,TRUE,Bretagne,2024
U-7182977309314007990,35-39 ans,F,TRUE,Île-de-France,2023
U-1464440913049485985,40-44 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-7766100485724221785,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U1932969749560550284,55-59 ans,F,TRUE,Pays de la Loire,2025
U6985258364061038781,35-39 ans,M,TRUE,Île-de-France,2022
U-2048447638013687684,30-34 ans,F,TRUE,Île-de-France,2024
U4892100953596910473,55-59 ans,M,TRUE,Île-de-France,2023
U-6207894170679522130,35-39 ans,Non renseigné,FALSE,Pays de la Loire,2024
U4291851960725106398,50-54 ans,M,TRUE,Nouvelle-Aquitaine,2022
U-4247115232883315827,25-29 ans,Non renseigné,FALSE,DROM,2025
U7564452786576350693,30-34 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2022
U-315395955942035959,35-39 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-4554885710211773500,30-34 ans,F,TRUE,Grand Est,2024
U5770199423257030986,50-54 ans,Non renseigné,FALSE,Pays de la Loire,2022
U85557918195919283,35-39 ans,Non renseigné,FALSE,Île-de-France,2022
U7712080333012686674,40-44 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2023
U-5914934719251559214,20-24 ans,M,TRUE,Île-de-France,2025
U472192960817701233,20-24 ans,M,TRUE,Île-de-France,2025
U-5708407517412305347,25-29 ans,M,TRUE,Hauts-de-France,2025
U-2542804990531592690,55-59 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2022
U4115884629954677399,25-29 ans,Non renseigné,FALSE,Île-de-France,2025
U-7923914290210164766,30-34 ans,M,TRUE,Île-de-France,2022
U3368691423591012790,40-44 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2025
U8071098024013545047,25-29 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U7263091286618271602,40-44 ans,Non renseigné,FALSE,Pays de la Loire,2022
U-2615613702990513046,35-39 ans,F,TRUE,Île-de-France,2024
U8265843439719217459,45-49 ans,M,TRUE,Île-de-France,2023
U-7790559595954220280,35-39 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2022
U-8475714712248351609,40-44 ans,Non renseigné,FALSE,Bretagne,2023
U-7505471250763605096,30-34 ans,F,TRUE,Île-de-France,2025
U-5083845552158604418,30-34 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2023
U7641129830576896866,30-34 ans,Non renseigné,FALSE,Île-de-France,2025
U6153604287828427442,35-39 ans,M,TRUE,Île-de-France,2023
U8680714628208807998,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-1527402212863530607,40-44 ans,M,TRUE,Hauts-de-France,2023
U6112281599460160931,40-44 ans,F,TRUE,Île-de-France,2025
U1193209668280953721,30-34 ans,F,TRUE,Pays de la Loire,2024
U-5512793037215372999,45-49 ans,M,TRUE,Grand Est,2022
U-3347253060164140959,50-54 ans,Non renseigné,FALSE,Hauts-de-France,2024
U1213940455107586386,60 ans ou plus,Non renseigné,FALSE,Île-de-France,2023
U6443713927130117925,35-39 ans,F,TRUE,Île-de-France,2025
U-3646065075750925574,45-49 ans,Non renseigné,FALSE,Île-de-France,2022
U8786992599160539316,35-39 ans,M,TRUE,Grand Est,2024
U-1722175248645706673,40-44 ans,M,TRUE,Occitanie,2022
U-1764953721079262604,40-44 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2022
U-3746503768400152595,40-44 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2022
U-8466771883374346562,30-34 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-3249033092396246863,35-39 ans,M,TRUE,Occitanie,2025
U510459186106581004,50-54 ans,M,TRUE,Hauts-de-France,2022
U1582624567086969825,30-34 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2022
U-2534987711240035084,30-34 ans,M,TRUE,Île-de-France,2022
U-6124871008091269668,45-49 ans,M,TRUE,Centre-Val de Loire,2022
U-8459686539539130313,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2025
U6111025430300952936,30-34 ans,F,TRUE,Île-de-France,2023
U8368528612026879273,40-44 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2022
U-4351694444438280706,45-49 ans,F,TRUE,Île-de-France,2024
U2153530329300766314,35-39 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2022
U-8896705673683554327,35-39 ans,F,TRUE,Île-de-France,2022
U2690494864603142624,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U-2649849429367935244,20-24 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2025
U-9009624006234338662,35-39 ans,M,TRUE,Île-de-France,2025
U714498563845794596,35-39 ans,F,TRUE,Hauts-de-France,2022
U-8715986097855815874,50-54 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2023
U5526037935533208999,30-34 ans,F,TRUE,Île-de-France,2024
U3260769464974810894,25-29 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2024
U6374781492122485645,25-29 ans,M,TRUE,Île-de-France,2023
U7209583872823606388,45-49 ans,M,TRUE,Auvergne-Rhône-Alpes,2022
U38564403188087665,55-59 ans,M,TRUE,Hauts-de-France,2024
U-4835715368066341637,30-34 ans,F,TRUE,Nouvelle-Aquitaine,2025
U-260921804625092381,35-39 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2024
U4437959401467723685,20-24 ans,M,TRUE,Nouvelle-Aquitaine,2023
U-8943419718384089948,25-29 ans,M,TRUE,Île-de-France,2022
U8393534786291451920,40-44 ans,Non renseigné,FALSE,Grand Est,2022
U-7141527334853741716,30-34 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2022
U-1164386950652278298,35-39 ans,M,TRUE,Île-de-France,2024
U-4946648575851471509,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U-9102537631962035870,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U-7746264293948341308,50-54 ans,F,TRUE,Hauts-de-France,2023
U8917673027987135390,25-29 ans,Non renseigné,FALSE,Île-de-France,2024
U-4013107686010160128,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U3609496954159372922,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U6375145068559179049,25-29 ans,F,TRUE,Île-de-France,2025
U-8805896619301036649,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U-6437887173577987873,40-44 ans,Non renseigné,FALSE,Pays de la Loire,2023
U-5951590016640530122,35-39 ans,F,TRUE,Hauts-de-France,2022
U-5918482964980543457,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U6757760391432565324,30-34 ans,Non renseigné,FALSE,Île-de-France,2025
U9067473061137364912,25-29 ans,F,TRUE,Grand Est,2024
U-1697845631501550405,20-24 ans,Non renseigné,FALSE,Île-de-France,2022
U2463807563284531109,35-39 ans,M,TRUE,Pays de la Loire,2022
U1994105373309673164,25-29 ans,M,TRUE,Bretagne,2022
U-1128491144296545060,30-34 ans,M,TRUE,Auvergne-Rhône-Alpes,2023
U-2230766206995838234,30-34 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2022
U7785312067764694265,30-34 ans,F,TRUE,Île-de-France,2023
U2735354825556287963,30-34 ans,M,TRUE,Grand Est,2024
U7930823697354290615,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U5993732086067792418,50-54 ans,Non renseigné,FALSE,Île-de-France,2022
U815805164669359352,35-39 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-1596461571294859557,25-29 ans,Non renseigné,FALSE,Hauts-de-France,2022
U8742999110400778647,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U-9031557542815540418,40-44 ans,Non renseigné,FALSE,Occitanie,2023
U3265909319218285308,35-39 ans,F,TRUE,Île-de-France,2024
U-1239033034392348918,25-29 ans,M,TRUE,Île-de-France,2024
U7543780720470269322,40-44 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2022
U-8389542908360875363,25-29 ans,M,TRUE,Île-de-France,2022
U-1938218992487283559,25-29 ans,M,TRUE,Hauts-de-France,2025
U-8225363440530281047,25-29 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U-8540493569856720195,25-29 ans,M,TRUE,Bourgogne-Franche-Comté,2025
U-6157347774374596132,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2024
U2793433816981984774,25-29 ans,Non renseigné,FALSE,Grand Est,2022
U3779167824913457913,25-29 ans,F,TRUE,Île-de-France,2024
U5015847726408195445,30-34 ans,Non renseigné,FALSE,Île-de-France,2023
U-2137076920399391659,25-29 ans,M,TRUE,Grand Est,2024
U-7324355112923209358,45-49 ans,M,TRUE,Nouvelle-Aquitaine,2025
U-2863655002264339658,30-34 ans,M,TRUE,Hauts-de-France,2022
U-210434267889715226,35-39 ans,M,TRUE,Occitanie,2022
U-5311526199923961424,40-44 ans,F,TRUE,Île-de-France,2023
U5480885717482180820,25-29 ans,F,TRUE,Bourgogne-Franche-Comté,2025
U8387092067878027806,45-49 ans,F,TRUE,Grand Est,2022
U6917855588008748568,45-49 ans,F,TRUE,Île-de-France,2022
U-4200767259160836465,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U134137610401633548,30-34 ans,M,TRUE,DROM,2024
U-6585215658842615601,45-49 ans,M,TRUE,DROM,2024
U1632449443671457677,30-34 ans,F,TRUE,Île-de-France,2025
U-8950567393011697281,35-39 ans,F,TRUE,Auvergne-Rhône-Alpes,2022
